iter	Passed	Remaining
0	1	290
1	2	256
2	3	246
3	4	235
4	5	229
5	7	231
6	8	229
7	9	223
8	10	219
9	11	216
10	12	213
11	13	213
12	14	211
13	15	209
14	17	209
15	18	208
16	19	207
17	20	206
18	21	205
19	22	203
20	23	202
21	24	201
22	26	200
23	27	198
24	28	197
25	29	195
26	30	194
27	31	191
28	32	190
29	33	188
30	34	187
31	35	185
32	36	184
33	37	182
34	38	181
35	39	180
36	40	179
37	41	178
38	42	177
39	44	176
40	45	174
41	46	173
42	47	172
43	48	170
44	49	168
45	50	168
46	51	166
47	52	165
48	53	165
49	54	164
50	56	163
51	57	162
52	58	161
53	59	160
54	60	159
55	61	157
56	62	156
57	63	155
58	64	153
59	65	152
60	66	150
61	67	149
62	68	148
63	69	147
64	70	146
65	71	144
66	72	143
67	73	142
68	74	141
69	75	139
70	76	138
71	77	137
72	78	135
73	79	134
74	80	133
75	81	132
76	82	131
77	83	130
78	84	129
79	85	127
80	86	126
81	87	125
82	88	124
83	89	123
84	90	122
85	91	121
86	92	120
87	93	119
88	94	118
89	95	117
90	96	116
91	97	114
92	98	113
93	99	112
94	100	111
95	101	109
96	102	108
97	103	107
98	103	106
99	104	104
100	105	103
101	106	102
102	107	100
103	108	99
104	108	98
105	109	97
106	110	96
107	111	94
108	112	93
109	113	92
110	114	91
111	114	90
112	115	89
113	116	87
114	117	86
115	118	85
116	119	84
117	119	83
118	120	82
119	121	81
120	122	79
121	123	78
122	124	77
123	125	76
124	126	75
125	126	74
126	127	73
127	128	72
128	130	71
129	130	70
130	131	69
131	132	68
132	133	67
133	134	66
134	135	65
135	136	64
136	137	63
137	138	62
138	139	61
139	139	59
140	140	58
141	141	57
142	142	56
143	143	55
144	144	54
145	144	53
146	145	52
147	146	51
148	147	50
149	148	49
150	149	48
151	149	47
152	150	46
153	151	45
154	152	44
155	153	43
156	154	42
157	154	41
158	155	40
159	156	39
160	157	38
161	158	37
162	159	36
163	160	35
164	161	34
165	162	33
166	163	32
167	164	31
168	165	30
169	166	29
170	167	28
171	168	27
172	169	26
173	169	25
174	170	24
175	171	23
176	172	22
177	173	21
178	174	20
179	175	19
180	176	18
181	177	17
182	178	16
183	178	15
184	179	14
185	180	13
186	181	12
187	182	11
188	183	10
189	184	9
190	184	8
191	185	7
192	186	6
193	187	5
194	188	4
195	189	3
196	190	2
197	191	1
198	191	0
199	192	0
