iter	Passed	Remaining
0	146	146279
1	148	74094
2	150	49989
3	152	37910
4	154	30649
5	155	25833
6	157	22398
7	159	19834
8	162	17846
9	164	16243
10	166	14926
11	167	13821
12	170	12910
13	172	12140
14	174	11486
15	177	10898
16	179	10370
17	181	9889
18	183	9463
19	185	9082
20	187	8741
21	190	8458
22	192	8178
23	194	7920
24	196	7669
25	198	7428
26	200	7211
27	201	7008
28	203	6829
29	206	6673
30	208	6512
31	210	6358
32	211	6211
33	213	6079
34	215	5944
35	217	5820
36	220	5729
37	222	5628
38	224	5531
39	226	5436
40	228	5352
41	231	5269
42	233	5195
43	235	5117
44	237	5034
45	238	4956
46	240	4878
47	242	4810
48	244	4744
49	246	4678
50	248	4617
51	250	4560
52	252	4505
53	253	4447
54	255	4396
55	257	4344
56	259	4293
57	261	4249
58	264	4221
59	266	4180
60	269	4148
61	271	4108
62	273	4067
63	275	4032
64	277	3997
65	280	3968
66	282	3935
67	284	3901
68	286	3868
69	288	3835
70	290	3803
71	292	3775
72	294	3746
73	297	3716
74	299	3689
75	301	3662
76	303	3633
77	305	3608
78	307	3583
79	310	3566
80	312	3541
81	314	3518
82	315	3483
83	317	3457
84	319	3436
85	321	3414
86	323	3395
87	325	3376
88	327	3355
89	329	3332
90	331	3309
91	333	3287
92	335	3267
93	336	3245
94	338	3226
95	340	3207
96	342	3189
97	344	3171
98	346	3151
99	348	3133
100	349	3113
101	351	3094
102	353	3081
103	356	3070
104	358	3055
105	360	3040
106	362	3025
107	364	3009
108	366	2993
109	369	2986
110	371	2972
111	373	2959
112	375	2944
113	377	2930
114	379	2916
115	380	2902
116	382	2887
117	384	2874
118	386	2863
119	388	2850
120	390	2836
121	391	2820
122	393	2809
123	395	2796
124	398	2789
125	400	2779
126	402	2764
127	404	2753
128	406	2741
129	407	2727
130	409	2714
131	411	2706
132	413	2695
133	415	2684
134	417	2674
135	419	2663
136	420	2650
137	422	2640
138	424	2628
139	426	2617
140	428	2607
141	429	2595
142	431	2586
143	433	2575
144	434	2564
145	436	2553
146	438	2544
147	440	2534
148	441	2524
149	444	2516
150	446	2510
151	448	2501
152	450	2492
153	452	2483
154	453	2474
155	455	2466
156	457	2457
157	459	2449
158	461	2442
159	463	2432
160	464	2421
161	466	2413
162	468	2405
163	470	2397
164	472	2388
165	473	2381
166	476	2375
167	478	2368
168	480	2360
169	481	2353
170	483	2345
171	485	2337
172	487	2329
173	489	2323
174	491	2316
175	492	2308
176	494	2300
177	496	2293
178	498	2286
179	500	2279
180	502	2272
181	504	2267
182	506	2260
183	508	2253
184	509	2246
185	511	2238
186	513	2232
187	515	2226
188	517	2221
189	519	2215
190	521	2210
191	523	2204
192	525	2196
193	527	2189
194	528	2183
195	530	2176
196	532	2169
197	534	2164
198	536	2159
199	538	2153
200	540	2147
201	541	2140
202	543	2134
203	545	2129
204	547	2124
205	550	2120
206	552	2115
207	554	2109
208	556	2104
209	557	2098
210	559	2093
211	561	2088
212	564	2085
213	566	2082
214	568	2076
215	570	2071
216	572	2066
217	574	2061
218	576	2055
219	578	2050
220	580	2045
221	582	2041
222	584	2035
223	586	2030
224	587	2024
225	589	2019
226	591	2014
227	593	2009
228	595	2005
229	597	2001
230	599	1995
231	601	1990
232	602	1984
233	604	1980
234	606	1974
235	608	1969
236	610	1966
237	612	1961
238	614	1956
239	616	1951
240	617	1946
241	620	1943
242	622	1937
243	624	1934
244	626	1929
245	628	1925
246	629	1920
247	631	1915
248	633	1911
249	635	1907
250	637	1902
251	639	1898
252	641	1894
253	643	1889
254	645	1885
255	647	1880
256	648	1875
257	650	1871
258	652	1866
259	654	1862
260	656	1859
261	658	1855
262	660	1850
263	662	1846
264	664	1842
265	666	1838
266	668	1835
267	670	1832
268	672	1828
269	674	1824
270	676	1820
271	678	1816
272	680	1812
273	682	1807
274	684	1803
275	686	1800
276	688	1796
277	690	1792
278	692	1788
279	693	1784
280	695	1779
281	697	1776
282	699	1772
283	701	1768
284	703	1764
285	704	1759
286	706	1755
287	708	1751
288	710	1747
289	711	1742
290	713	1739
291	715	1735
292	718	1732
293	719	1728
294	721	1724
295	723	1720
296	725	1716
297	726	1712
298	728	1708
299	731	1705
300	732	1702
301	734	1698
302	736	1694
303	738	1690
304	739	1686
305	741	1682
306	743	1678
307	745	1674
308	747	1671
309	749	1667
310	750	1663
311	752	1659
312	754	1655
313	756	1651
314	757	1647
315	759	1644
316	761	1641
317	764	1638
318	765	1634
319	767	1630
320	769	1626
321	770	1623
322	772	1619
323	774	1615
324	776	1612
325	779	1610
326	780	1606
327	782	1603
328	784	1599
329	785	1595
330	787	1591
331	789	1588
332	791	1585
333	793	1581
334	794	1578
335	796	1574
336	798	1570
337	800	1566
338	801	1563
339	803	1560
340	805	1557
341	807	1554
342	809	1550
343	811	1547
344	812	1543
345	814	1540
346	816	1536
347	818	1533
348	820	1530
349	822	1527
350	824	1523
351	825	1520
352	827	1516
353	829	1513
354	831	1510
355	832	1506
356	835	1504
357	837	1501
358	839	1498
359	840	1495
360	842	1491
361	844	1488
362	846	1485
363	847	1481
364	850	1479
365	852	1476
366	854	1473
367	856	1471
368	858	1468
369	860	1464
370	862	1462
371	864	1459
372	866	1457
373	869	1454
374	871	1452
375	873	1449
376	875	1446
377	877	1443
378	879	1440
379	881	1437
380	883	1434
381	884	1431
382	886	1428
383	888	1425
384	890	1422
385	892	1419
386	894	1416
387	896	1413
388	898	1410
389	899	1407
390	901	1404
391	903	1401
392	905	1398
393	907	1395
394	908	1392
395	910	1389
396	912	1386
397	914	1383
398	916	1380
399	918	1377
400	920	1374
401	921	1371
402	923	1368
403	926	1366
404	928	1363
405	930	1360
406	931	1357
407	933	1354
408	935	1351
409	937	1349
410	939	1346
411	941	1343
412	943	1340
413	944	1337
414	946	1334
415	948	1331
416	949	1328
417	951	1325
418	953	1322
419	955	1319
420	957	1317
421	959	1314
422	961	1311
423	963	1308
424	965	1305
425	966	1302
426	968	1299
427	970	1297
428	972	1294
429	974	1291
430	975	1288
431	977	1285
432	979	1282
433	981	1279
434	982	1276
435	984	1273
436	986	1271
437	988	1268
438	990	1265
439	992	1262
440	993	1259
441	995	1257
442	997	1254
443	999	1251
444	1001	1249
445	1003	1246
446	1005	1244
447	1008	1242
448	1010	1239
449	1011	1236
450	1013	1233
451	1015	1231
452	1017	1228
453	1019	1225
454	1020	1222
455	1022	1220
456	1024	1217
457	1026	1214
458	1028	1211
459	1030	1209
460	1032	1206
461	1033	1203
462	1035	1201
463	1037	1198
464	1039	1195
465	1041	1193
466	1043	1191
467	1045	1188
468	1047	1186
469	1049	1183
470	1051	1180
471	1053	1177
472	1054	1175
473	1056	1172
474	1058	1169
475	1060	1167
476	1062	1164
477	1064	1161
478	1065	1159
479	1067	1156
480	1069	1154
